Cluster,Modality,Feature,Score,SHAP Value
C2,Protein,ZNF385B,0.8298551764860086,0.3956663916171008
C2,Niche,SP140,0.6100817646403554,0.3478051540825905
C2,Niche,BMPR1B,0.5220686197410878,0.2487119164441628
C2,Niche,MZB1,0.46143977155012966,0.18045042131855504
C2,Niche,ADCY1,0.433817771247292,0.14935105038719554
C2,Niche,PEG10,0.34508610009620755,0.04944883026436475
C2,Niche,CA2,1.0,0.7868107185385786
C2,Niche,MTBP,0.32938474912170257,0.031770815177621425
C2,Niche,SPOCK2,0.3172767534207356,0.018138527674496807
C2,Niche,MUC5B,0.3384059853062508,0.041927746872892135
C2,Niche,MS4A1,0.6554343247568796,0.39886720875955284
C2,Niche,POU2AF1,0.41452217622297827,0.12762630705132716
C2,Niche,MUCL1,0.3348698343621542,0.03794642514839558
C2,Niche,SERPINA6,0.6382962947301581,0.37957164916971997
C2,Niche,IGHA1,0.3896557948368836,0.09962946359436126
C2,Niche,CORO1A,0.38059251394154087,0.0894251941233189
C2,Niche,PLCG2,0.37428005552859034,0.0823180518627723
C2,Niche,FOXJ1,0.3052857659132526,0.004637978683111832
C2,Niche,CD79A,0.44011359178715487,0.15643946021051863
C2,Niche,RAC2,0.32690740415574276,0.028981593934531202
C2,Niche,P2RY10,0.5547210091548368,0.2854749589117662
C3,RNA,ZNF385B,0.326844387255585,0.05938148996827319
C3,RNA,LTF,0.5042208866235188,0.281033460297468
C3,RNA,CPB1,0.5117057137454262,0.29038659718457527
C3,RNA,APOD,0.31618670700377727,0.04606351472707959
C3,RNA,AREG,0.3079692732423485,0.03579490309723693
C3,RNA,BMPR1B,0.5166844106119691,0.29660804125452467
C3,RNA,MZB1,0.3181003026612186,0.048454768638373835
C3,RNA,AGR3,0.46084721298768777,0.22683315610804278
C3,RNA,ADCY1,0.33967558444130386,0.07541552011336888
C3,RNA,CA2,1.0000000000000002,0.9005654598551525
C3,RNA,GFRA1,0.5259822796914027,0.3082267788475156
C3,RNA,MDK,0.31713627470344374,0.04725010681984293
C3,RNA,MUCL1,0.3497216962740556,0.0879692715393563
C3,RNA,DHRS2,0.3517217613450189,0.09046857874941716
C3,RNA,SERPINA6,0.7626828449048787,0.6040108700013954
C3,RNA,SERPINA5,0.3632528094457695,0.1048779257632535
C3,RNA,IGHA1,0.35800912239532334,0.0983253465283338
C3,RNA,FGF7,0.36910048722877964,0.11218525963822101
C3,RNA,CD79A,0.4168063268746829,0.171799094567893
C3,RNA,OTUD6A,0.3678801039773623,0.11066025292539661
C3,Protein,ADCY1,0.3603314753207011,0.14523634505843103
C3,Protein,AGR3,0.6645325886743487,0.5517282161690517
C3,Protein,AIMP1,1.0,1.0
C3,Protein,AKNA,0.3053169243966174,0.07172258471448595
C3,Protein,ARHGAP29,0.6441774432807725,0.5245284434708354
C3,Protein,CA2,0.43448172121681067,0.24432037491397385
C3,Protein,DHRS2,0.3278300166446221,0.10180593612463856
C3,Protein,GPR183,0.365953728388913,0.15274913863225992
C3,Protein,LTF,0.41397762493740997,0.21692156506032167
C3,Protein,MDK,0.32234579190071394,0.09447758432090692
C3,Protein,MUC5B,0.3111990987798348,0.0795827008227834
C3,Protein,MZB1,0.38222319535912036,0.1744893814531454
C3,Protein,NPY1R,0.48421872403804317,0.31078195724465074
C3,Protein,PPM1H,0.3518989245825119,0.13396826227591718
C3,Protein,SDK2,0.4284585313332332,0.23627182539080493
C3,Protein,SERPINA5,0.31684791037524973,0.0871309835021507
C3,Protein,SERPINA6,0.3323321900271818,0.10782201168125083
C3,Protein,TMEM64,0.3172887818393361,0.0877201025371866
C3,Protein,WFDC2,0.3067701421577763,0.07366446191655246
C3,Protein,ZNF385B,0.42324083988663813,0.22929963145100618
C3,Niche,ZNF385B,0.390000012029513,0.025065375853073057
C3,Niche,SP140,0.45040167716480245,0.08242120423779914
C3,Niche,STATH,0.45120102313770855,0.08318024209444325
C3,Niche,BMPR1B,0.5462029366854143,0.1733915539425216
C3,Niche,AIMP1,0.4006879019110642,0.035214314238596944
C3,Niche,ANKRD50,0.4256414153902386,0.058909512599466085
C3,Niche,MZB1,0.5409130371391807,0.16836840483120763
C3,Niche,ADCY1,0.5262166104886165,0.1544130656373217
C3,Niche,CA2,1.0,0.604305278368264
C3,Niche,MTBP,0.3964930742726129,0.031231016533217137
C3,Niche,MUC5B,0.46859031007522906,0.09969265040449948
C3,Niche,MS4A1,0.6634584335274448,0.2847342816466967
C3,Niche,POU2AF1,0.5060057426955407,0.1352213585535913
C3,Niche,FOS,0.4883775572452468,0.11848209851570107
C3,Niche,SERPINA6,0.5018102515071425,0.13123743075868022
C3,Niche,PLCG2,0.36360355884585255,0.0
C3,Niche,SYT4,0.4958540614493288,0.12558158974804584
C3,Niche,CD79A,0.454937417278967,0.0867282234400521
C3,Niche,MMP9,0.4040113672157911,0.03837018925021379
C3,Niche,P2RY10,0.45348782319061587,0.08535172712040995
C4,RNA,C1QA,0.6562905610171902,0.4069553240305491
C4,RNA,S100A9,0.368720114693362,0.00656866065248185
C4,RNA,ACKR1,0.3768610626142518,0.017903368430864486
C4,RNA,RGS13,0.8163385285060639,0.6297914064670278
C4,RNA,CR2,0.9999999999999999,0.8855047619338683
C4,RNA,DYTN,0.711096120816498,0.4832615491768628
C4,RNA,FSTL1,0.3830157939579043,0.02647265076907268
C4,RNA,STAP1,0.42063772807816907,0.07885397459704258
C4,RNA,FDCSP,0.940024853654886,0.8020008795366815
C4,RNA,PLAC8,0.37860435284417204,0.020330565548579926
C4,RNA,FABP4,0.5922263693445502,0.3177582306792499
C4,RNA,PAX5,0.36400229352607627,0.0
C4,RNA,GFRA1,0.3867027163649362,0.031605982721491066
C4,RNA,CD163,0.56849646213565,0.2847188885246543
C4,RNA,RNASE1,0.5323818488150659,0.23443621966397865
C4,RNA,TCL1A,0.40656750782810736,0.059263892893817394
C4,RNA,ELL3,0.4006533453529915,0.051029556541253185
C4,RNA,P2RX5,0.37073144635931665,0.009369054034252922
C4,RNA,SOCS3,0.5139613509331732,0.2087892111518851
C4,RNA,FCER2,0.425750419941187,0.08597241691989788
C4,Protein,ADAM28,0.4891202834742405,0.2395514448323155
C4,Protein,APOD,0.5612822317247332,0.3469650835227557
C4,Protein,C1QA,0.7673666615089121,0.6537234099986766
C4,Protein,C7,0.6108955974584579,0.4208149763033676
C4,Protein,CD163,0.4788124396760964,0.22420813667261952
C4,Protein,CLU,0.9611031914870765,0.9421017885864815
C4,Protein,CR2,0.7991999257586295,0.7011074791286716
C4,Protein,FABP4,0.8548314708503147,0.7839154801478012
C4,Protein,FCRLA,0.4600651722146007,0.19630267870809737
C4,Protein,FDCSP,0.9999999999999999,1.0
C4,Protein,FSTL1,0.4949876521201161,0.2482850701164332
C4,Protein,GZMB,0.4592853180255976,0.19514185949354357
C4,Protein,MDK,0.5838408749523762,0.38054380488140527
C4,Protein,P2RY10,0.511055582875755,0.27220231390672156
C4,Protein,RGS13,0.9731619485036356,0.9600513451136452
C4,Protein,RNASE1,0.5136876947827435,0.2761202335891094
C4,Protein,SH2D1A,0.5230916535332067,0.2901181016064156
C4,Protein,SPAG16,0.47567927305594915,0.21954439303136952
C4,Protein,SPOCK2,0.6174253178245835,0.43053451743496174
C4,Protein,TCL1A,0.5062433645274586,0.2650392883025743
C4,Niche,C1QA,0.4326739800989307,0.09330616197011266
C4,Niche,C1QC,0.4390459609450939,0.1020784395665062
C4,Niche,RGS13,0.6076990268869266,0.33426236284610267
C4,Niche,CR2,1.0,0.874341361915185
C4,Niche,EFEMP1,0.49478779483017504,0.17881797353205775
C4,Niche,LAMP3,0.4650650470542263,0.1378987993045947
C4,Niche,FDCSP,0.6427940697236958,0.38257755171030616
C4,Niche,TNXB,0.43054383940368035,0.0903736067805655
C4,Niche,NUGGC,0.40147161851698043,0.0503500100186004
C4,Niche,FABP4,0.6289593395793929,0.36353134045716096
C4,Niche,LMO2,0.4988489963314076,0.18440901151597677
C4,Niche,KRT8,0.5148945762476478,0.20649888978438524
C4,Niche,HVCN1,0.4850535901553653,0.16541693739445562
C4,Niche,RNASE1,0.5227861346252525,0.21736316298730574
C4,Niche,ELL3,0.4760775940629086,0.15305972362872589
C4,Niche,SOCS3,0.5041607082541821,0.19172162161691708
C4,Niche,FCER2,0.5990469547217286,0.3223510937055424
C4,Niche,CD209,0.40746816760642823,0.0586054323908618
C4,Niche,ZFP36,0.39878166086233174,0.046646757319193766
C4,Niche,CHRDL1,0.397564302084593,0.044970824922259234
C5,RNA,S100A2,0.3217729032324689,0.08895988933346449
C5,RNA,PIGR,0.3784609825773016,0.1496411710308888
C5,RNA,ACTG2,0.4861901312187554,0.26495893962153755
C5,RNA,NEK10,0.41694168587903563,0.19083251891133834
C5,RNA,TM4SF1,0.29969093135705943,0.06532242672593191
C5,RNA,APOD,0.43909926329196475,0.21455091283588035
C5,RNA,S100P,0.334594622476799,0.10268479175214912
C5,RNA,STC2,0.3067545518552099,0.07288362037027157
C5,RNA,ELOVL2,0.32022380618157964,0.08730167131641281
C5,RNA,PEG10,0.35063012079732375,0.11984985717670271
C5,RNA,SLC30A8,0.5122112398278782,0.2928130182891964
C5,RNA,SLC1A1,0.369215820491024,0.13974476438985323
C5,RNA,TNC,0.3236281716915039,0.09094584598057948
C5,RNA,TCN1,0.5085044661898968,0.2888451333667476
C5,RNA,MUCL1,0.3281711190082692,0.09580880604292841
C5,RNA,FSIP1,0.3373636116276938,0.10564883309248918
C5,RNA,KRT14,1.0,0.8149624279523404
C5,RNA,KRT17,0.7760002738024342,0.5751837894337042
C5,RNA,DTNA,0.46546026537273527,0.24276882763520113
C5,RNA,NIBAN3,0.35131937180121964,0.12058766016475636
C5,Protein,ACADSB,0.23309416752382267,0.04635523762492599
C5,Protein,ACTG2,0.33505269886477107,0.1731403203238121
C5,Protein,AGTR1,0.2568597979912179,0.07590771729064416
C5,Protein,APOD,1.0,1.0
C5,Protein,CXCL10,0.2297982947303356,0.04225683115327994
C5,Protein,DTNA,0.2835547569157787,0.10910280680773421
C5,Protein,GMNN,0.2453758941645486,0.061627522419049674
C5,Protein,IGHA1,0.3179229900106341,0.15183958633798073
C5,Protein,KRT14,0.6467168877256532,0.5606936661725526
C5,Protein,KRT17,0.6135257832058267,0.5194206419727276
C5,Protein,MUCL1,0.2519269464370346,0.06977373336587489
C5,Protein,NEK10,0.37486196077593203,0.2226430004547204
C5,Protein,PIGR,0.2694548340985322,0.0915696013278064
